nda_number,product_number,nadac_NDC
9165,1,
9165,3,
9166,1,
9170,2,66490069110
9170,3,66490069110
9175,1,
9175,2,
9176,1,
9176,2,
9182,2,
9182,4,
9182,9,
9190,1,
9193,2,
9193,3,
9193,4,
9215,1,
9217,1,
9218,5,
9218,7,
9218,12,
9218,13,
9218,16,
9218,18,
9218,20,
9218,22,
9218,23,
9218,24,
9218,25,
9218,26,
9238,1,
9238,2,
9255,6,
9255,8,
9268,3,
9268,7,
9268,11,
9268,12,
9273,1,
9273,2,
9276,3,
9276,4,
9276,5,
9278,1,
9278,2,
9282,2,
9296,2,
9296,4,
9309,1,
9309,2,
9319,6,
9321,1,
9321,3,
9321,7,
9330,2,
9330,4,
9344,1,
9357,1,
9357,4,
9357,6,
9357,8,
9372,1,
9376,1,
9376,4,
9378,2,
9386,1,
9388,1,
9391,1,
9391,2,
9391,4,
9395,3,
9395,4,
9402,2,42023011201
9402,3,42023011201
9402,4,42023011201
9410,5,
9434,2,
9435,1,
9435,2,
9435,3,
9435,4,
9435,6,
9435,7,
9436,1,
9452,1,
9453,1,
9453,2,
9458,1,
9470,1,
9477,1,
9477,2,
9486,1,
9489,5,
9495,1,
9509,2,
9519,2,
9519,5,
9519,8,
9561,1,
9561,2,
9561,3,
9585,1,
9585,3,
9627,1,
9627,2,
9631,2,
9631,4,
9637,1,
9637,2,
9645,2,
9659,1,
9659,2,
9660,2,
9660,4,
9660,7,
9660,8,
9663,1,
9663,3,
9667,1,
9667,2,
9668,1,
9668,2,
9698,2,
9698,4,
9729,1,
9750,1,
9766,1,
9766,2,
9768,1,59212056210
9789,3,
9796,1,
9818,3,
9818,5,
9829,2,68682030210
9830,1,
9838,1,
9838,2,
9854,1,
9859,1,
9859,2,
9864,1,
9866,1,9082501
9866,2,9082501
9866,3,9082501
9866,4,9082501
9895,1,
9895,3,
9900,1,
9925,1,
9925,2,
9926,2,
9926,4,
9986,2,
9986,5,
9986,6,
9986,7,
9986,8,
9987,4,
9996,1,
10010,1,
10010,2,
10012,1,
10021,2,
10021,4,
10021,7,
10021,10,
10028,4,
10028,5,
10040,1,
10040,6,
10040,12,
10040,16,
10040,17,
10040,18,
10040,19,
10040,20,
10040,21,
10040,22,
10060,1,
10093,3,
10093,7,
10093,9,
10104,3,
10124,1,
10124,2,
10151,1,
10155,2,
10187,3,78044105
10187,6,78044105
10187,10,78044105
10209,2,
10210,1,
10210,2,
10220,2,
10220,3,
10251,1,
10255,2,
10347,2,
10347,4,
10348,1,
10348,2,
10348,3,
10348,4,
10348,6,
10349,6,
10349,8,
10355,1,
10355,2,
10374,3,
10375,3,
10375,4,
10379,1,60793011701
10379,2,60793011701
10379,3,60793011701
10392,1,
10392,4,
10392,5,
10392,6,
10401,1,
10402,1,
10417,1,
10417,2,
10418,5,
10418,6,
10418,7,
10418,8,
10418,9,
10418,10,
10423,1,
10441,1,
10441,2,
10441,3,
10441,4,
10460,5,
10485,1,
10496,2,
10515,1,
10520,3,
10533,1,
10533,2,
10554,1,
10562,1,
10571,1,
10571,2,
10571,3,
10581,1,
10585,2,
10596,7,71052524
10596,8,71052524
10598,2,
10599,1,
10611,2,
10611,6,
10611,10,
10653,1,
10656,1,
10669,2,
10670,1,
10670,2,
10679,3,
10679,4,
10686,3,
10686,6,
10718,1,
10721,1,16571066110
10721,4,16571066110
10721,5,16571066110
10721,6,16571066110
10742,2,
10744,1,
10753,1,
10775,1,
10775,2,
10775,3,
10775,4,
10787,2,
10791,1,
10791,2,
10791,3,
10791,4,
10791,5,
10796,1,
10796,2,
10799,3,
10799,10,
10799,11,
10831,1,
10831,2,
10841,1,
10841,3,
10895,2,
10909,3,
10911,6,
10926,1,
10926,2,
10927,1,
10929,1,
10929,2,
10929,3,
10942,1,
10942,3,
10942,4,
10962,2,
10971,3,
10971,5,
10976,4,
10976,5,
10976,6,
10976,7,
10976,8,
10996,5,
10996,6,
10996,7,
10997,1,
10997,3,
11000,1,
11000,2,
11000,3,
11000,4,
11011,4,
11011,6,
11028,1,
11045,1,
11045,2,
11047,1,
11047,2,
11073,3,
11110,2,
11111,1,
11111,2,
11120,16,
11120,17,
11120,18,
11120,19,
11120,20,
11123,1,
11123,2,
11123,3,
11127,1,
11127,2,
11127,3,
11145,2,
11145,4,
11145,5,
11153,1,9005604
11153,2,9005604
11153,3,9005604
11153,4,9005604
11153,5,9005604
11153,6,9005604
11161,4,
11161,7,
11161,9,
11161,10,
11161,11,
11178,1,
11185,1,
11185,2,
11188,1,
11208,1,
11210,1,
11210,3,
11213,2,
